ENSOCUG00000008092	ACOT11
	
ENSOCUG00000027089	
ENSOCUG00000024520	RGS8
ENSOCUG00000014090	
ENSOCUG00000005163	MAP2
ENSOCUG00000003342	
ENSOCUG00000010409	
ENSOCUG00000007121	ATP6V0C
ENSOCUG00000010005	RAB8B
ENSOCUG00000027851	PARG
ENSOCUG00000016953	RNF14
ENSOCUG00000008174	STAMBPL1
ENSOCUG00000006863	SERPINB8
ENSOCUG00000006684	SRSF3
