ENSOCUG00000005903	SSBP3
ENSOCUG00000003307	BIRC7
ENSOCUG00000015922	RNASEL
	
ENSOCUG00000015177	
ENSOCUG00000024520	UNC80
ENSOCUG00000004274	REXO2
ENSOCUG00000012802	
ENSOCUG00000021194	
ENSOCUG00000038276	
ENSOCUG00000000525	TIMM23
ENSOCUG00000016963	GNPDA1
ENSOCUG00000008193	ACTA2
ENSOCUG00000015600	CDH7
ENSOCUG00000016048	
