ENSPTRG00000000771	ACOT11
ENSPTRG00000013732	NKAIN4
ENSPTRG00000001756	RGS16
ENSPTRG00000051859	RGS8
ENSPTRG00000014572	ARL8B
ENSPTRG00000012869	MAP2
ENSPTRG00000004305	RBM7
ENSPTRG00000013786	RBM11
ENSPTRG00000007653	ATP6V0C
ENSPTRG00000043064	RAB8B
ENSPTRG00000031332	PARG
ENSPTRG00000017356	RNF14
ENSPTRG00000002727	STAMBPL1
ENSPTRG00000010084	SERPINB8
ENSPTRG00000018106	SRFS3
